mes	dia	anio	salta	lomitas	iguazu	corrientes	posadas	rioja	ceres	paso	sauce	parana	caseros	mendoza	reynolds	rosario	guale	laboulaye	pehuajo	junin	ezeiza	starosa	neuquen	bblanca	esquel	gallegos
2	15	1961	0.1	4.9	0	-99.9	0	0	0.3	0	0	0	21	0	0	0	4	0	0	0	0.7	0	0	0	0	0
2	16	1961	0	0.1	0	-99.9	0	0	0	7.8	1.8	0	19.2	0	0	0	0	6.7	15.5	0	0	0	0	9	0	0.2
2	17	1961	0	0	1.5	-99.9	0	8.5	17.6	22.5	18.4	6	7	0	0.7	27.9	5.3	30	0	16.6	19.8	15	0	1.6	0	0.6
2	18	1961	3.6	8.9	2	-99.9	0	2.6	3.4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8
2	19	1961	0	0	1.8	-99.9	0	0	0	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5
2	20	1961	0	0	0.8	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0
2	21	1961	0	0	0	-99.9	1.3	0	0	12	22.7	29	0	0	5	22.5	8.2	34.3	7.6	32	12.6	0	0	0	0	0.2
2	22	1961	3.9	36.3	0	-99.9	4	0.4	5.3	49.9	15.6	15.4	0	0	0	0	14.3	0	0	0	0	0	0	0	0	0.1
2	23	1961	0.2	0	0	-99.9	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	24	1961	0	0.4	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	1	21.4	12.8	0	12.3	0	17	7.9	0
2	25	1961	0	21.5	11.8	-99.9	1.4	0	0.5	13.5	0	2.3	6.3	0	0	0.3	1.3	0	0.4	0	2.9	0	0	0	1.7	0
2	26	1961	6.9	6	2.4	-99.9	27.6	0	0	3.2	0	0	9	0	0	0	0	0	0	0	0.1	0	0	0	0	1.1
2	27	1961	2.8	0.4	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6	0	0	0	0	0	0
2	28	1961	0	0	0	-99.9	0.2	0	0	0	0	0	0	0	0	0	0	5.7	0	2.9	5	0	0	0	0	0
3	1	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0.2	16.3	0	0	0	0	0	12.3	0	0
3	3	1961	0	0	0	-99.9	0	1.3	16.5	17.8	0	0.6	43.4	0	0	17.7	32.2	0	0	0.4	1.8	0	0	0	0	0.2
3	4	1961	21.1	7.2	0.5	-99.9	7	80.4	0	1	1.1	0	1	5	8.9	1	0	3.2	0	0	0	0	0	0	0	0
3	5	1961	21.7	0.2	7.6	-99.9	0	33.4	0.1	0	0	0	0	1	2.9	0	0	0	0	0	0	0	0	0	0	0.4
